"Fibre Length, m","Simulated Angular Frequency Width, /s","Theoretical Angular Frequency Width, /s"
0.05,607409268804847.9,43693637175462.09
0.2515151515151515,551490620180069.4,219792235488688.06
0.453030303030303,531735487919274.56,395890833801914.0
0.6545454545454545,587898849343245.8,571989432115140.0
0.8560606060606061,672428920702032.8,748088030428366.0
1.0575757575757576,761272488355965.9,924186628741592.0
1.259090909090909,863934613561981.6,1100285227054818.0
1.4606060606060607,984604472746623.0,1276383825368044.0
1.662121212121212,1121665586423933.5,1452482423681270.0
1.8636363636363635,1276957794830730.0,1628581021994495.8
2.065151515151515,1460636310310788.8,1804679620307721.5
2.2666666666666666,1699737853770203.8,1980778218620947.8
2.468181818181818,1999680858630900.5,2156876816934173.5
2.6696969696969695,2305572963697624.5,2332975415247399.5
2.871212121212121,2562524709342975.5,2509074013560625.5
3.0727272727272723,2812315351595428.5,2685172611873851.5
3.274242424242424,3027606472381271.5,2861271210187077.5
3.4757575757575756,3164252857730943.0,3037369808500303.5
3.677272727272727,3250881813969390.5,3213468406813529.5
3.8787878787878785,3276316787354528.0,3389567005126755.5
4.08030303030303,3304611760662973.0,3565665603439982.0
4.281818181818181,3331066084744949.5,3741764201753207.0
4.483333333333333,3350082933298367.5,3917862800066434.0
4.684848484848485,3363366311950795.0,4093961398379659.5
4.886363636363636,3381582889805682.5,4270059996692885.5
5.087878787878788,3405938551384923.0,4446158595006111.5
5.289393939393939,3426211934926099.0,4622257193319338.0
5.49090909090909,3423196846499598.0,4798355791632563.0
5.692424242424242,3415202174177916.0,4974454389945790.0
5.893939393939394,3428175254825869.0,5150552988259015.0
6.095454545454545,3450009396148274.5,5326651586572241.0
6.296969696969697,3463964305219659.5,5502750184885467.0
6.498484848484848,3468566220561357.5,5678848783198693.0
6.699999999999999,3459396114009034.0,5854947381511919.0
6.901515151515151,3441279424972554.0,6031045979825146.0
7.103030303030303,3427372916380524.5,6207144578138371.0
7.304545454545454,3428106092129571.5,6383243176451597.0
7.506060606060606,3428274348996156.5,6559341774764823.0
7.707575757575757,3417124008742667.0,6735440373078049.0
7.909090909090908,3393074508440571.0,6911538971391275.0
8.110606060606061,3358389062280607.0,7087637569704501.0
8.312121212121212,3314348973056040.0,7263736168017728.0
8.513636363636364,3261748380031954.0,7439834766330954.0
8.715151515151515,3205837207618772.0,7615933364644180.0
8.916666666666668,3151377958087614.0,7792031962957406.0
9.118181818181819,3101474386193559.5,7968130561270632.0
9.31969696969697,3059674124396530.5,8144229159583858.0
9.521212121212121,3018397661188657.5,8320327757897084.0
9.722727272727273,2974288127688628.0,8496426356210309.0
9.924242424242424,2931796038849767.5,8672524954523535.0
10.125757575757577,2895643367866269.5,8848623552836762.0
10.327272727272728,2864837653712632.0,9024722151149988.0
10.52878787878788,2834598126517549.5,9200820749463214.0
10.73030303030303,2802035325787655.5,9376919347776440.0
10.931818181818182,2765068869669405.0,9553017946089666.0
11.133333333333333,2725800764358446.5,9729116544402892.0
11.334848484848486,2686540233312061.0,9905215142716118.0
11.536363636363637,2649601526896340.0,1.0081313741029344e+16
11.737878787878788,2616456877314909.0,1.025741233934257e+16
11.93939393939394,2589009711939628.0,1.0433510937655796e+16
12.14090909090909,2566678527516447.0,1.060960953596902e+16
12.342424242424242,2542262370034077.5,1.0785708134282246e+16
12.543939393939395,2512895789898018.0,1.0961806732595474e+16
12.745454545454546,2480316581837289.5,1.11379053309087e+16
12.946969696969697,2446745141072764.5,1.1314003929221924e+16
13.148484848484848,2413513260292124.0,1.149010252753515e+16
13.35,2380806294207071.0,1.1666201125848376e+16
13.551515151515153,2349174339732391.5,1.1842299724161604e+16
13.753030303030304,2320023580160383.5,1.201839832247483e+16
13.954545454545455,2294696994942366.0,1.2194496920788056e+16
14.156060606060606,2274263509022084.0,1.2370595519101282e+16
14.357575757575757,2258694731419147.0,1.2546694117414508e+16
14.559090909090909,2241725997751710.8,1.2722792715727732e+16
14.760606060606062,2217682265219551.2,1.2898891314040962e+16
14.962121212121213,2188114273412073.5,1.3074989912354184e+16
15.163636363636364,2160409749109879.2,1.325108851066741e+16
15.365151515151515,2138987400179594.8,1.3427187108980636e+16
15.566666666666666,2122058884783694.5,1.3603285707293862e+16
15.768181818181818,2102642024737511.2,1.3779384305607088e+16
15.96969696969697,2077344821027556.5,1.3955482903920314e+16
16.171212121212122,2048050450353682.8,1.413158150223354e+16
16.37272727272727,2019723766983832.8,1.4307680100546764e+16
16.574242424242424,1995732554257810.8,1.4483778698859992e+16
16.775757575757577,1978073898380161.8,1.465987729717322e+16
16.977272727272727,1963509540835756.2,1.4835975895486446e+16
17.17878787878788,1948731399715006.2,1.5012074493799672e+16
17.38030303030303,1931235502562986.8,1.5188173092112894e+16
17.581818181818182,1909073344408013.2,1.5364271690426124e+16
17.783333333333335,1883105189890562.8,1.554037028873935e+16
17.984848484848484,1854663219636924.0,1.5716468887052572e+16
18.186363636363637,1827645730284566.8,1.5892567485365802e+16
18.387878787878787,1802980061752235.2,1.6068666083679024e+16
18.58939393939394,1784082963445840.0,1.6244764681992254e+16
18.79090909090909,1766533774979265.0,1.6420863280305478e+16
18.992424242424242,1752107409669997.8,1.6596961878618704e+16
19.193939393939395,1736682515532769.5,1.6773060476931932e+16
19.395454545454545,1722887826040121.2,1.6949159075245156e+16
19.596969696969698,1711939594677635.2,1.7125257673558384e+16
19.798484848484847,1700366863232221.0,1.7301356271871608e+16
20.0,1689093702196019.8,1.7477454870184834e+16
