"Wavelength, nm","Simulated Angular Frequency Width, /s","Theoretical Angular Frequency Width, /s"
500.0,852216379884659.9,1398194176084714.2
505.050505050505,849808698700368.8,1384212306697860.0
510.1010101010101,846375726953988.5,1370507303841348.5
515.1515151515151,843789102247336.8,1357071024468361.8
520.2020202020201,842098998579276.6,1343895641762626.0
525.2525252525252,838218559203886.9,1330973629935273.2
530.3030303030303,836089781492235.1,1318297749890440.2
535.3535353535353,833833972510631.6,1305861035702221.0
540.4040404040404,831699512759110.0,1293656781849924.2
545.4545454545454,828849511186356.6,1281678531162453.2
550.5050505050505,826304310978358.9,1269920063426296.0
555.5555555555555,822551646282834.0,1258375384614884.0
560.6060606060606,820566290098803.1,1247038716700134.2
565.6565656565657,817577573502819.5,1235904488009798.0
570.7070707070707,816109237875574.6,1224967324096793.5
575.7575757575756,813465987266430.8,1214222039089101.8
580.8080808080807,810973100208635.6,1203663627490951.5
585.8585858585858,808236617197349.8,1193287256408086.0
590.9090909090909,806169109806218.9,1183088258171724.0
595.959595959596,804043129863967.0,1173062123337562.2
601.010101010101,802810252323230.1,1163204494037777.2
606.060606060606,800695212337392.2,1153511157665406.0
611.1111111111111,798583482909295.4,1143978040871908.0
616.1616161616162,796462935986532.9,1134601203859914.0
621.2121212121212,793942434394185.4,1125376834954379.8
626.2626262626262,791490376753735.5,1116301245436422.8
631.3131313131312,790895481259111.9,1107370864625125.6
636.3636363636363,789064063387042.6,1098582235193542.1
641.4141414141413,786196251222984.0,1089932008705988.4
646.4646464646464,785366713212963.1,1081416941364524.6
651.5151515151515,785425545044562.2,1073033889953265.4
656.5656565656566,782106591712654.2,1064779807969882.2
661.6161616161617,782564342666062.0,1056651741934278.6
666.6666666666666,778939147616213.5,1048646827865058.2
671.7171717171717,776746841217583.9,1040762287914941.0
676.7676767676768,775158304804496.9,1032995427156835.6
681.8181818181818,772730160134801.4,1025343630512748.8
686.8686868686868,770782325036825.9,1017804359818184.0
691.9191919191918,769294167974923.6,1010375151015102.2
696.9696969696969,766562697728355.0,1003053611466932.4
702.020202020202,763789346312291.2,995837417389472.4
707.070707070707,761180983786762.8,988724311391899.2
712.1212121212121,757609316710103.2,981712100122412.2
717.1717171717172,756153118956643.4,974798652013356.4
722.2222222222223,754185610641420.0,967981895120956.2
727.2727272727273,754288578487558.2,961259815055057.9
732.3232323232323,752438032094260.2,954630452994535.0
737.3737373737373,751922273671303.8,948091903784259.2
742.4242424242424,750829069122930.2,941642314109736.5
747.4747474747473,749423824811881.5,935279880745747.1
752.5252525252524,748360245237280.4,929002848875511.6
757.5757575757575,746783409607796.6,922809510477087.8
762.6262626262626,744907416664749.8,916698202773883.9
767.6767676767677,744820282083661.4,910667306746333.4
772.7272727272727,742645128722620.5,904715245701939.4
777.7777777777778,740401036042422.6,898840483901027.0
782.8282828282829,740301257796893.6,893041525235693.6
787.8787878787879,737928960953179.9,887316911959569.6
792.9292929292928,735181469053721.0,881665223466119.4
797.9797979797979,734394279166281.8,876085075113339.4
803.0303030303029,733620303070747.0,870575117092805.0
808.080808080808,731582165952832.4,865134033341127.1
813.131313131313,727904881040583.2,859760540491978.5
818.1818181818181,727367672884708.8,854453386866929.2
823.2323232323232,727009987580547.1,849211351503430.8
828.2828282828283,723268649629571.4,844033243218364.0
833.3333333333334,719663387565776.0,838917899705636.4
838.3838383838385,719008656176658.5,833864186666397.9
843.4343434343434,719028913420922.1,828870996970504.1
848.4848484848484,717046080293076.9,823937249847928.8
853.5353535353535,712428073564563.6,819061890108885.2
858.5858585858585,709155919847303.0,814243887391468.1
863.6363636363635,708647622926343.8,809482235435696.1
868.6868686868686,709717610247503.8,804775951382880.0
873.7373737373737,707607761645572.2,800124075099286.8
878.7878787878788,702163425909165.2,795525668523127.8
883.8383838383838,697721381808957.1,790979815033935.9
888.8888888888889,695849860807792.8,786485618843438.1
893.939393939394,697349964212598.2,782042204407079.8
898.989898989899,697750371854320.5,777648715855384.9
904.0404040404039,694976732935707.6,773304316444372.2
909.090909090909,689353653197201.4,769008188024297.9
914.1414141414141,683278956808501.9,764759530526003.0
919.191919191919,680324407256947.8,760557561464196.8
924.2424242424241,680965628337854.9,756401515457025.2
929.2929292929292,682900224547596.5,752290643761306.4
934.3434343434343,683569807332748.9,748224213822838.8
939.3939393939394,680659950029755.9,744201508841214.9
944.4444444444445,675144215141674.4,740221827348599.4
949.4949494949495,667567354066515.6,736284482801949.8
954.5454545454545,662397590812755.2,732388803188182.0
959.5959595959596,659973249435070.4,728534130641805.0
964.6464646464644,660770554133133.6,724719821074566.1
969.6969696969697,664616210769010.1,720945243816671.5
974.7474747474746,665332773869336.9,717209781269157.0
979.7979797979799,664744394146993.9,713512828567013.9
984.8484848484848,660549909599733.1,709853793252680.6
989.8989898989898,654272457212760.4,706232094959523.2
994.9494949494949,646766615519193.8,702647165104962.9
1000.0,640074853811176.2,699098446592900.6
