"GDD, fs^2","Simulated Angular Frequency Width, /s"
-100.00000000000001,271721847982066.5
-97.979797979798,271606027560436.22
-95.95959595959596,271495620086272.66
-93.93939393939395,271396689569445.8
-91.91919191919193,271301582304732.75
-89.89898989898991,271209523726976.3
-87.87878787878789,271122580630687.0
-85.85858585858587,271048503658060.4
-83.83838383838385,270974625336754.72
-81.81818181818183,270904924427273.66
-79.7979797979798,270835579228631.16
-77.77777777777779,270778613648787.0
-75.75757575757576,270717415783781.16
-73.73737373737374,270662762434229.34
-71.71717171717172,270613686775003.8
-69.6969696969697,270563216587750.16
-67.6767676767677,270515901510798.34
-65.65656565656566,270471146835983.56
-63.63636363636365,270430504434663.94
-61.61616161616161,270387962556512.0
-59.5959595959596,270349467156966.1
-57.57575757575758,270314708604797.72
-55.555555555555564,270277776741640.53
-53.53535353535354,270244350288794.22
-51.515151515151516,270211674519793.47
-49.4949494949495,270179640996639.9
-47.47474747474748,270149119881810.47
-45.45454545454545,270119413298146.28
-43.43434343434344,270090790107339.56
-41.41414141414142,270062050353795.72
-39.393939393939405,270034296569364.56
-37.37373737373738,270007880781473.6
-35.35353535353536,269980157872761.06
-33.33333333333334,269953432601172.4
-31.31313131313131,269929109981574.66
-29.292929292929294,269904072434181.22
-27.272727272727277,269878750747224.6
-25.25252525252526,269853186141504.88
-23.232323232323232,269829232467807.5
-21.212121212121215,269803702828436.34
-19.191919191919197,269780743631561.3
-17.17171717171717,269756783199644.97
-15.151515151515152,269732982936946.94
-13.131313131313135,269709482261560.53
-11.111111111111118,269685781775868.44
-9.090909090909088,269662380580824.22
-7.070707070707072,269639280136451.28
-5.050505050505055,269616371504621.6
-3.030303030303026,269593423587898.94
-1.0101010101010086,269570131272298.66
1.0101010101010086,269548408110675.0
3.030303030303026,269525243056313.38
5.050505050505043,269503422706694.16
7.07070707070706,269482342591988.38
9.0909090909091,269460993924918.2
11.111111111111118,269440814586803.38
13.131313131313135,269419413080941.84
15.151515151515152,269399844768943.44
17.17171717171717,269379445924266.25
19.191919191919187,269362849027967.03
21.212121212121204,269344097723514.03
23.232323232323242,269326411686431.34
25.25252525252526,269311039415400.6
27.272727272727277,269295687096462.1
29.292929292929294,269281773437359.97
31.31313131313131,269269020244740.62
33.33333333333333,269257931098425.28
35.35353535353535,269247624456753.44
37.373737373737384,269239149475564.6
39.393939393939405,269234370473900.72
41.41414141414142,269229423844988.94
43.43434343434344,269224230802330.97
45.45454545454545,269226922578047.3
47.474747474747474,269229640258783.6
49.49494949494949,269233632785920.5
51.51515151515153,269243431505199.28
53.53535353535354,269252648068229.28
55.555555555555564,269269047408282.44
57.57575757575758,269289131008689.47
59.5959595959596,269313388603597.47
61.61616161616161,269339072976870.4
63.63636363636363,269371307775899.9
65.65656565656568,269409985505302.34
67.6767676767677,269452297895492.94
69.6969696969697,269499317468015.3
71.71717171717172,269556186050821.34
73.73737373737374,269621483021572.97
75.75757575757576,269686112474953.66
77.77777777777777,269767021764589.84
79.79797979797982,268398167966181.44
81.81818181818183,268346993955303.66
83.83838383838385,268296574625454.75
85.85858585858587,268246269858010.22
87.87878787878789,268196365070239.75
89.8989898989899,268146288839779.6
91.91919191919192,268096081455096.88
93.93939393939395,268045682654083.72
95.95959595959597,267995725770348.56
97.979797979798,267945611675556.06
100.00000000000001,267895254862665.62
