"GDD, fs^2","FoOD, fs^4","Simulated Angular Frequency Width, /s"
-300.00000000000006,-66000.0,267066485272749.1
-300.00000000000006,-56631.57894736841,267049377972900.25
-300.00000000000006,-47263.15789473683,267049690508655.03
-300.00000000000006,-37894.73684210526,267064195787699.66
-300.00000000000006,-28526.315789473683,267091264972941.22
-300.00000000000006,-19157.894736842107,267130200420069.7
-300.00000000000006,-9789.473684210529,267177886605716.75
-300.00000000000006,-421.0526315789487,267233874038207.0
-300.00000000000006,8947.36842105263,267296464802719.9
-300.00000000000006,18315.78947368421,267363607255362.2
-300.00000000000006,27684.21052631578,267435718028317.4
-300.00000000000006,37052.63157894737,267510609239696.56
-300.00000000000006,46421.05263157894,267587536242735.38
-300.00000000000006,55789.47368421053,267665109720345.0
-300.00000000000006,65157.8947368421,267743628793849.6
-300.00000000000006,74526.31578947368,267821287351427.16
-300.00000000000006,83894.73684210527,267898239828709.78
-300.00000000000006,93263.15789473684,267973846086039.78
-300.00000000000006,102631.5789473684,268046781040298.62
-300.00000000000006,111999.99999999999,268117893690653.25
-247.36842105263162,-66000.0,268788087036750.34
-247.36842105263162,-56631.57894736841,268819141908742.97
-247.36842105263162,-47263.15789473683,268848761850182.03
-247.36842105263162,-37894.73684210526,268877907305328.4
-247.36842105263162,-28526.315789473683,268907087664364.0
-247.36842105263162,-19157.894736842107,268936206842061.94
-247.36842105263162,-9789.473684210529,268966174726740.38
-247.36842105263162,-421.0526315789487,268997108010759.6
-247.36842105263162,8947.36842105263,269028924990438.9
-247.36842105263162,18315.78947368421,269062234244929.62
-247.36842105263162,27684.21052631578,269099231018610.12
-247.36842105263162,37052.63157894737,270250648672077.8
-247.36842105263162,46421.05263157894,270054975994314.66
-247.36842105263162,55789.47368421053,269882456791116.7
-247.36842105263162,65157.8947368421,269731272562042.25
-247.36842105263162,74526.31578947368,269599332028451.66
-247.36842105263162,83894.73684210527,269484980104366.12
-247.36842105263162,93263.15789473684,269387995809529.28
-247.36842105263162,102631.5789473684,269306043468669.53
-247.36842105263162,111999.99999999999,269238248375669.66
-194.7368421052632,-66000.0,269210454875066.53
-194.7368421052632,-56631.57894736841,269248611161934.94
