"GDD, fs^2","TOD, fs^3","Simulated Angular Frequency Width, /s"
-300.00000000000006,-23999.999999999996,265728362476208.75
-300.00000000000006,-20315.789473684206,266611415346926.53
-300.00000000000006,-16631.578947368416,267062293309560.88
-300.00000000000006,-12947.368421052626,267707472381484.22
-300.00000000000006,-9263.157894736838,267262289737932.38
-300.00000000000006,-5578.947368421048,267262689876866.22
-300.00000000000006,-1894.7368421052588,267274447006165.8
-300.00000000000006,1789.4736842105306,267165059117727.78
-300.00000000000006,5473.68421052632,266915086403250.44
-300.00000000000006,9157.89473684211,266585047606708.84
-300.00000000000006,12842.105263157899,266419645655074.4
-300.00000000000006,16526.315789473687,267149657835679.1
-300.00000000000006,20210.526315789477,265332793533897.16
-300.00000000000006,23894.73684210527,264419315760067.6
-300.00000000000006,27578.947368421057,263070787670106.47
-300.00000000000006,31263.15789473684,262980494949692.7
-300.00000000000006,34947.36842105263,261395176357572.97
-300.00000000000006,38631.57894736843,259659027173449.75
-300.00000000000006,42315.78947368421,258798556213949.84
-300.00000000000006,46000.0,257128476665258.94
-247.36842105263162,-23999.999999999996,267271300852307.56
-247.36842105263162,-20315.789473684206,267325308193963.72
-247.36842105263162,-16631.578947368416,268137369944877.47
-247.36842105263162,-12947.368421052626,268690536937971.03
-247.36842105263162,-9263.157894736838,268952677037288.53
-247.36842105263162,-5578.947368421048,269054158979062.5
-247.36842105263162,-1894.7368421052588,269045584949917.28
-247.36842105263162,1789.4736842105306,268924520304279.56
-247.36842105263162,5473.68421052632,268686753489541.25
-247.36842105263162,9157.89473684211,268340691121969.38
-247.36842105263162,12842.105263157899,267865986260543.56
-247.36842105263162,16526.315789473687,267158886365283.2
-247.36842105263162,20210.526315789477,266126540786057.16
-247.36842105263162,23894.73684210527,265237751530916.06
-247.36842105263162,27578.947368421057,264711884707493.72
-247.36842105263162,31263.15789473684,263637387526845.34
-247.36842105263162,34947.36842105263,261990164723573.97
-247.36842105263162,38631.57894736843,261236173584789.44
-247.36842105263162,42315.78947368421,259680849226937.72
-247.36842105263162,46000.0,258974199906121.6
-194.7368421052632,-23999.999999999996,268050407597726.97
-194.7368421052632,-20315.789473684206,268747628943461.4
-194.7368421052632,-16631.578947368416,269954568500212.88
-194.7368421052632,-12947.368421052626,269179502536779.7
-194.7368421052632,-9263.157894736838,269280754788708.5
-194.7368421052632,-5578.947368421048,269480361962956.47
-194.7368421052632,-1894.7368421052588,269547496692359.1
-194.7368421052632,1789.4736842105306,269432049227278.66
-194.7368421052632,5473.68421052632,269132272458597.1
-194.7368421052632,9157.89473684211,268674063618470.4
-194.7368421052632,12842.105263157899,268205694375409.8
-194.7368421052632,16526.315789473687,268270199028787.75
-194.7368421052632,20210.526315789477,267349226419437.56
-194.7368421052632,23894.73684210527,266500198538700.7
-194.7368421052632,27578.947368421057,265143978303129.22
-194.7368421052632,31263.15789473684,264432569162080.44
