"GDD, fs^2","TOD, fs^3","Simulated Angular Frequency Width, /s"
-100.00000000000001,-100.0,271727239347458.4
-100.00000000000001,-89.47368421052632,271727194394185.62
-100.00000000000001,-78.94736842105263,271726152141587.3
-100.00000000000001,-68.42105263157895,271725664302160.16
-100.00000000000001,-57.89473684210527,271724945692168.72
-100.00000000000001,-47.36842105263158,271724614480626.53
-100.00000000000001,-36.842105263157904,271724068507303.2
-100.00000000000001,-26.315789473684216,271723332236453.28
-100.00000000000001,-15.78947368421053,271723034680306.6
-100.00000000000001,-5.263157894736843,271722616916308.47
-100.00000000000001,5.263157894736843,271721824391084.25
-100.00000000000001,15.78947368421053,271721097312468.5
-100.00000000000001,26.315789473684195,271720948326123.9
-100.00000000000001,36.84210526315788,271720321399098.2
-100.00000000000001,47.36842105263157,271720102881853.6
-100.00000000000001,57.89473684210525,271719653503764.84
-100.00000000000001,68.42105263157895,271719414925820.28
-100.00000000000001,78.94736842105263,271718503586276.9
-100.00000000000001,89.47368421052632,271718222090228.62
-100.00000000000001,100.0,271717962162012.4
-89.47368421052632,-100.0,271197892897876.94
-89.47368421052632,-89.47368421052632,271197545577128.56
-89.47368421052632,-78.94736842105263,271197141886695.03
-89.47368421052632,-68.42105263157895,271196224351641.1
-89.47368421052632,-57.89473684210527,271195140203010.5
-89.47368421052632,-47.36842105263158,271194743673072.12
-89.47368421052632,-36.842105263157904,271193977335990.78
-89.47368421052632,-26.315789473684216,271193498730878.16
-89.47368421052632,-15.78947368421053,271192324579907.6
-89.47368421052632,-5.263157894736843,271191514116798.5
-89.47368421052632,5.263157894736843,271189965911102.9
-89.47368421052632,15.78947368421053,271189257122596.12
-89.47368421052632,26.315789473684195,271188792733975.44
-89.47368421052632,36.84210526315788,271187616145097.4
-89.47368421052632,47.36842105263157,271186847349792.88
-89.47368421052632,57.89473684210525,271186086950840.56
-89.47368421052632,68.42105263157895,271185584274593.88
-89.47368421052632,78.94736842105263,271185340544402.56
-89.47368421052632,89.47368421052632,271185278654691.38
-89.47368421052632,100.0,271185424972274.25
-78.94736842105264,-100.0,270814192370136.3
-78.94736842105264,-89.47368421052632,270813713273845.4
-78.94736842105264,-78.94736842105263,270813316339316.0
-78.94736842105264,-68.42105263157895,270813272960264.47
-78.94736842105264,-57.89473684210527,270812739666026.38
-78.94736842105264,-47.36842105263158,270812574767764.47
-78.94736842105264,-36.842105263157904,270811823444447.97
-78.94736842105264,-26.315789473684216,270811633514382.44
-78.94736842105264,-15.78947368421053,270811145746438.0
-78.94736842105264,-5.263157894736843,270811113946618.94
-78.94736842105264,5.263157894736843,270810914341972.16
-78.94736842105264,15.78947368421053,270810372278469.06
-78.94736842105264,26.315789473684195,270810503156486.38
-78.94736842105264,36.84210526315788,270809541492348.84
-78.94736842105264,47.36842105263157,270809106776549.5
-78.94736842105264,57.89473684210525,270808732392362.12
-78.94736842105264,68.42105263157895,270807972277606.03
-78.94736842105264,78.94736842105263,270808014899400.97
-78.94736842105264,89.47368421052632,270807405711140.7
-78.94736842105264,100.0,270807138135823.25
-68.42105263157896,-100.0,270537210286238.47
-68.42105263157896,-89.47368421052632,270536708042164.25
-68.42105263157896,-78.94736842105263,270535848558470.4
-68.42105263157896,-68.42105263157895,270535377615693.3
-68.42105263157896,-57.89473684210527,270534929926948.3
-68.42105263157896,-47.36842105263158,270535123614965.53
-68.42105263157896,-36.842105263157904,270534167226874.7
-68.42105263157896,-26.315789473684216,270534376117275.9
-68.42105263157896,-15.78947368421053,270533829501198.47
-68.42105263157896,-5.263157894736843,270533299908150.2
-68.42105263157896,5.263157894736843,270533018751282.72
-68.42105263157896,15.78947368421053,270532652384912.56
-68.42105263157896,26.315789473684195,270532288822255.34
-68.42105263157896,36.84210526315788,270531767242248.16
-68.42105263157896,47.36842105263157,270531744057641.97
-68.42105263157896,57.89473684210525,270531246439394.12
-68.42105263157896,68.42105263157895,270531360738197.56
-68.42105263157896,78.94736842105263,270530639622403.7
-68.42105263157896,89.47368421052632,270530685462960.9
-68.42105263157896,100.0,270530419775705.4
-57.89473684210527,-100.0,270324115450556.53
-57.89473684210527,-89.47368421052632,270324295623609.62
-57.89473684210527,-78.94736842105263,270323283779303.44
-57.89473684210527,-68.42105263157895,270323183727241.84
-57.89473684210527,-57.89473684210527,270322552197924.84
-57.89473684210527,-47.36842105263158,270322599598109.16
-57.89473684210527,-36.842105263157904,270321771239352.03
-57.89473684210527,-26.315789473684216,270320973719432.75
-57.89473684210527,-15.78947368421053,270321061136193.3
-57.89473684210527,-5.263157894736843,270320566263114.88
-57.89473684210527,5.263157894736843,270319909774006.9
-57.89473684210527,15.78947368421053,270319468936121.75
-57.89473684210527,26.315789473684195,270319313131282.6
-57.89473684210527,36.84210526315788,270318981212502.16
-57.89473684210527,47.36842105263157,270318181132316.75
-57.89473684210527,57.89473684210525,270317815975366.28
-57.89473684210527,68.42105263157895,270317386542968.47
-57.89473684210527,78.94736842105263,270316774121600.72
-57.89473684210527,89.47368421052632,270316521140199.9
-57.89473684210527,100.0,270316388596168.47
-47.368421052631575,-100.0,270151668712238.12
-47.368421052631575,-89.47368421052632,270151238189434.66
-47.368421052631575,-78.94736842105263,270150806029250.38
-47.368421052631575,-68.42105263157895,270150391779405.97
-47.368421052631575,-57.89473684210527,270149934467788.62
-47.368421052631575,-47.36842105263158,270149198655547.78
-47.368421052631575,-36.842105263157904,270149723701876.72
-47.368421052631575,-26.315789473684216,270148465342936.16
-47.368421052631575,-15.78947368421053,270148762534583.1
-47.368421052631575,-5.263157894736843,270148267390606.1
-47.368421052631575,5.263157894736843,270147280537495.12
-47.368421052631575,15.78947368421053,270147039271441.9
-47.368421052631575,26.315789473684195,270146834068628.66
-47.368421052631575,36.84210526315788,270146106316079.44
-47.368421052631575,47.36842105263157,270145881630187.7
-47.368421052631575,57.89473684210525,270145213357048.03
-47.368421052631575,68.42105263157895,270145015967666.84
-47.368421052631575,78.94736842105263,270144513863842.38
-47.368421052631575,89.47368421052632,270144292148514.56
-47.368421052631575,100.0,270144074587385.28
-36.8421052631579,-100.0,270004891615544.53
-36.8421052631579,-89.47368421052632,270004252728940.2
-36.8421052631579,-78.94736842105263,270003896867591.1
-36.8421052631579,-68.42105263157895,270003583795526.4
-36.8421052631579,-57.89473684210527,270003241312862.8
-36.8421052631579,-47.36842105263158,270002801568160.0
-36.8421052631579,-36.842105263157904,270002291425555.2
-36.8421052631579,-26.315789473684216,270001655777596.84
-36.8421052631579,-15.78947368421053,270001453365110.84
-36.8421052631579,-5.263157894736843,270001160757476.44
-36.8421052631579,5.263157894736843,270000310700067.2
-36.8421052631579,15.78947368421053,270000574004389.47
-36.8421052631579,26.315789473684195,269999991733694.62
-36.8421052631579,36.84210526315788,269999070702745.47
-36.8421052631579,47.36842105263157,269998854237823.72
-36.8421052631579,57.89473684210525,269998752781107.38
-36.8421052631579,68.42105263157895,269998214147458.12
-36.8421052631579,78.94736842105263,269997578617704.03
-36.8421052631579,89.47368421052632,269997457711606.0
-36.8421052631579,100.0,269996478387924.16
-26.315789473684216,-100.0,269869467599646.44
-26.315789473684216,-89.47368421052632,269869971619603.75
-26.315789473684216,-78.94736842105263,269869082551899.8
-26.315789473684216,-68.42105263157895,269868425398675.66
-26.315789473684216,-57.89473684210527,269868167896211.2
-26.315789473684216,-47.36842105263158,269867470733280.34
-26.315789473684216,-36.842105263157904,269866976324972.53
-26.315789473684216,-26.315789473684216,269866528932908.2
-26.315789473684216,-15.78947368421053,269865830141321.72
-26.315789473684216,-5.263157894736843,269866199487762.3
-26.315789473684216,5.263157894736843,269865454771696.4
-26.315789473684216,15.78947368421053,269864893321669.5
-26.315789473684216,26.315789473684195,269864800557919.8
-26.315789473684216,36.84210526315788,269864308724994.8
-26.315789473684216,47.36842105263157,269863933673278.56
-26.315789473684216,57.89473684210525,269863892343246.28
-26.315789473684216,68.42105263157895,269863026044256.34
-26.315789473684216,78.94736842105263,269862811944576.44
-26.315789473684216,89.47368421052632,269862801337104.2
-26.315789473684216,100.0,269861922608589.12
-15.789473684210526,-100.0,269743716360700.94
-15.789473684210526,-89.47368421052632,269744093078785.25
-15.789473684210526,-78.94736842105263,269743680524767.47
-15.789473684210526,-68.42105263157895,269742851653728.6
-15.789473684210526,-57.89473684210527,269742610548782.75
-15.789473684210526,-47.36842105263158,269742349378994.97
-15.789473684210526,-36.842105263157904,269741982070594.06
-15.789473684210526,-26.315789473684216,269741453510719.56
-15.789473684210526,-15.78947368421053,269741084356991.12
-15.789473684210526,-5.263157894736843,269740436748319.94
-15.789473684210526,5.263157894736843,269739626595779.56
-15.789473684210526,15.78947368421053,269739991591500.2
-15.789473684210526,26.315789473684195,269739184537475.84
-15.789473684210526,36.84210526315788,269739007790057.5
-15.789473684210526,47.36842105263157,269739141705712.94
-15.789473684210526,57.89473684210525,269737802551760.0
-15.789473684210526,68.42105263157895,269737985960341.53
-15.789473684210526,78.94736842105263,269736711661231.16
-15.789473684210526,89.47368421052632,269737106957797.66
-15.789473684210526,100.0,269736193970980.56
-5.2631578947368345,-100.0,269622330302874.53
-5.2631578947368345,-89.47368421052632,269622441477403.38
-5.2631578947368345,-78.94736842105263,269621841625347.5
-5.2631578947368345,-68.42105263157895,269621391644571.53
-5.2631578947368345,-57.89473684210527,269620838482338.16
-5.2631578947368345,-47.36842105263158,269620499801554.28
-5.2631578947368345,-36.842105263157904,269620080506156.56
-5.2631578947368345,-26.315789473684216,269619769531563.7
-5.2631578947368345,-15.78947368421053,269619189570390.62
-5.2631578947368345,-5.263157894736843,269618621777731.88
-5.2631578947368345,5.263157894736843,269618997545841.44
-5.2631578947368345,15.78947368421053,269617908130916.8
-5.2631578947368345,26.315789473684195,269617446325223.47
-5.2631578947368345,36.84210526315788,269617528269084.25
-5.2631578947368345,47.36842105263157,269616445036594.84
-5.2631578947368345,57.89473684210525,269615962058513.53
-5.2631578947368345,68.42105263157895,269615461541834.16
-5.2631578947368345,78.94736842105263,269615086978102.25
-5.2631578947368345,89.47368421052632,269614789001514.88
-5.2631578947368345,100.0,269615048861830.47
5.263157894736857,-100.0,269505448281809.28
5.263157894736857,-89.47368421052632,269505275476874.06
5.263157894736857,-78.94736842105263,269504273274596.9
5.263157894736857,-68.42105263157895,269503891387248.7
5.263157894736857,-57.89473684210527,269503437849650.44
5.263157894736857,-47.36842105263158,269503241936579.3
5.263157894736857,-36.842105263157904,269502699574063.1
5.263157894736857,-26.315789473684216,269502528797458.78
5.263157894736857,-15.78947368421053,269502017361192.5
