"GDD, fs^2","TOD, fs^3","Simulated Angular Frequency Width, /s"
-700.0000000000001,-46000.0,299341411795524.6
-700.0000000000001,-41157.89473684211,300632481440614.56
-700.0000000000001,-36315.789473684206,302885392685189.5
-700.0000000000001,-31473.684210526317,303802363972080.9
-700.0000000000001,-26631.578947368416,305433393699718.06
-700.0000000000001,-21789.473684210527,306628292891314.06
-700.0000000000001,-16947.36842105263,307737433197805.5
-700.0000000000001,-12105.263157894737,307563015162758.6
-700.0000000000001,-7263.157894736841,308138374902129.6
-700.0000000000001,-2421.0526315789452,308584178457563.94
-700.0000000000001,2421.0526315789452,308747748405809.4
-700.0000000000001,7263.157894736845,308621279336557.56
-700.0000000000001,12105.263157894737,308200414453536.9
-700.0000000000001,16947.368421052637,307602461852230.44
-700.0000000000001,21789.473684210527,307622307180882.0
-700.0000000000001,26631.578947368427,306683003233092.8
-700.0000000000001,31473.684210526317,305517298503602.94
-700.0000000000001,36315.789473684206,303800727843719.6
-700.0000000000001,41157.89473684211,302888553417874.0
-700.0000000000001,46000.0,300584765762555.06
-626.3157894736843,-46000.0,304977158999886.7
-626.3157894736843,-41157.89473684211,306328376675790.56
-626.3157894736843,-36315.789473684206,308427807982963.0
-626.3157894736843,-31473.684210526317,310134340449804.06
-626.3157894736843,-26631.578947368416,310642320661512.3
-626.3157894736843,-21789.473684210527,312101486618422.1
-626.3157894736843,-16947.36842105263,312851212223030.0
-626.3157894736843,-12105.263157894737,313373210945807.44
-626.3157894736843,-7263.157894736841,313417744013746.3
-626.3157894736843,-2421.0526315789452,313710805695496.1
-626.3157894736843,2421.0526315789452,313838010492831.44
-626.3157894736843,7263.157894736845,313722107547992.6
-626.3157894736843,12105.263157894737,313436996127892.75
-626.3157894736843,16947.368421052637,313433305334459.4
-626.3157894736843,21789.473684210527,312884901599029.75
-626.3157894736843,26631.578947368427,312121827137620.8
-626.3157894736843,31473.684210526317,310591515787982.94
-626.3157894736843,36315.789473684206,310570053388611.2
-626.3157894736843,41157.89473684211,308320976230597.06
-626.3157894736843,46000.0,306476478418076.56
-552.6315789473684,-46000.0,309228508804573.2
-552.6315789473684,-41157.89473684211,311582912767692.7
-552.6315789473684,-36315.789473684206,312595060465956.56
-552.6315789473684,-31473.684210526317,314567353545732.06
