"TOD, fs^3","FOD, fs^4","Simulated Angular Frequency Width, /s"
-46000.0,-111999.99999999999,323834849893148.56
-46000.0,-100210.52631578947,323825577956624.8
-46000.0,-88421.05263157893,323815188426078.9
-46000.0,-76631.57894736841,323806758953426.75
-46000.0,-64842.10526315789,323795902465631.3
-46000.0,-53052.63157894737,323787959709621.75
-46000.0,-41263.15789473685,323778251729521.9
-46000.0,-29473.684210526317,323768847812579.0
-46000.0,-17684.21052631579,323759488598864.25
-46000.0,-5894.736842105263,323749948428020.8
-46000.0,5894.736842105263,323740972946005.94
-46000.0,17684.21052631579,323731724806061.9
-46000.0,29473.6842105263,323722408974668.06
-46000.0,41263.157894736825,323712979154209.4
-46000.0,53052.63157894735,323703227641121.5
-46000.0,64842.10526315788,323694060794106.9
-46000.0,76631.57894736841,323684469990610.7
-46000.0,88421.05263157893,323675682687621.4
-46000.0,100210.52631578947,323665580327702.5
-46000.0,111999.99999999999,323656595933375.4
-41157.89473684211,-111999.99999999999,325961869211879.75
-41157.89473684211,-100210.52631578947,325957444227680.94
-41157.89473684211,-88421.05263157893,325952417136898.0
-41157.89473684211,-76631.57894736841,325946676836662.25
-41157.89473684211,-64842.10526315789,325940870566687.06
-41157.89473684211,-53052.63157894737,325934414293306.4
-41157.89473684211,-41263.15789473685,325927835043211.75
-41157.89473684211,-29473.684210526317,325920429766038.7
-41157.89473684211,-17684.21052631579,325912902266489.25
-41157.89473684211,-5894.736842105263,325904831819663.75
-41157.89473684211,5894.736842105263,325895636488560.9
-41157.89473684211,17684.21052631579,325886866234440.7
-41157.89473684211,29473.6842105263,325877221231523.4
-41157.89473684211,41263.157894736825,325867722571235.0
-41157.89473684211,53052.63157894735,325857261692103.9
-41157.89473684211,64842.10526315788,325846695440193.3
-41157.89473684211,76631.57894736841,325835699641670.3
-41157.89473684211,88421.05263157893,325823702916406.9
-41157.89473684211,100210.52631578947,325811827940981.8
-41157.89473684211,111999.99999999999,325799296322735.25
-36315.789473684206,-111999.99999999999,326851524310933.56
-36315.789473684206,-100210.52631578947,326843928404655.56
-36315.789473684206,-88421.05263157893,326836195697405.6
-36315.789473684206,-76631.57894736841,326829133336833.06
-36315.789473684206,-64842.10526315789,326821217954729.75
-36315.789473684206,-53052.63157894737,326813799754517.3
-36315.789473684206,-41263.15789473685,326805725139951.5
-36315.789473684206,-29473.684210526317,326798026192785.3
-36315.789473684206,-17684.21052631579,326790347597434.6
-36315.789473684206,-5894.736842105263,326782236414397.3
-36315.789473684206,5894.736842105263,326774221323147.25
-36315.789473684206,17684.21052631579,326765124737915.4
-36315.789473684206,29473.6842105263,326757194973672.3
-36315.789473684206,41263.157894736825,326748708801203.06
-36315.789473684206,53052.63157894735,326740115454343.75
-36315.789473684206,64842.10526315788,326731276558205.4
-36315.789473684206,76631.57894736841,326722594338137.8
-36315.789473684206,88421.05263157893,326713915868057.7
-36315.789473684206,100210.52631578947,326705189252867.5
-36315.789473684206,111999.99999999999,326696700152500.44
-31473.684210526317,-111999.99999999999,328590360905954.9
-31473.684210526317,-100210.52631578947,328587218597747.5
-31473.684210526317,-88421.05263157893,328583984869624.56
-31473.684210526317,-76631.57894736841,328580234890662.2
-31473.684210526317,-64842.10526315789,328575983606535.9
-31473.684210526317,-53052.63157894737,328570894636714.75
-31473.684210526317,-41263.15789473685,328565094593836.2
-31473.684210526317,-29473.684210526317,328559649536807.25
-31473.684210526317,-17684.21052631579,328552311613353.2
-31473.684210526317,-5894.736842105263,328544578076142.75
-31473.684210526317,5894.736842105263,328536650564540.75
-31473.684210526317,17684.21052631579,328528184422122.8
-31473.684210526317,29473.6842105263,328518214867023.94
-31473.684210526317,41263.157894736825,328508693796582.2
-31473.684210526317,53052.63157894735,328498156540907.9
-31473.684210526317,64842.10526315788,328486871620355.44
-31473.684210526317,76631.57894736841,328475294446355.2
-31473.684210526317,88421.05263157893,328462564043593.0
