SPECTRUM DATA FILE
SpectrumCount:	7
PixelCount:	2500
UserName:	Atto
SampleName:	
LightSource:	
Comments:	
DeviceName:	Qmini
DeviceManufacturer:	RGB Photonics
DeviceSerialNo:	20020

Name:	press0_2	press0_4	press0_6	press0_8	press1_0	press1_2	press1_4
Date:	2022-02-16T16:39:57.0793301+00:00	2022-02-16T16:41:53.4875983+00:00	2022-02-16T16:42:37.8891153+00:00	2022-02-16T16:43:58.5908464+00:00	2022-02-16T16:44:44.0927301+00:00	2022-02-16T16:47:09.5960090+00:00	2022-02-16T16:48:10.2987359+00:00
ExposureTime:	0.1	0.1	0.1	0.1	0.1	0.1	0.1
TemporalAvg:	10	10	10	10	10	10	10
IntensityUnit:	ADCvalue	ADCvalue	ADCvalue	ADCvalue	ADCvalue	ADCvalue	ADCvalue
CCDLoadLevel:	0.2710881	0.222379	0.1448925	0.08582424	0.06430244	0.06372198	0.05398405
Temperature:	24.6405	24.53796	24.53796	24.6405	24.53796	24.6405	24.53796
DiagramColor:	200	16711680	49152	16711935	42495	12632064	3368611
ProcessingSteps:	783	783	783	783	783	783	783

Wavelength [nm]	Intensity1	Intensity2	Intensity3	Intensity4	Intensity5	Intensity6	Intensity7
181.1781	0.4784232	1.169722	2.990726	3.113513	-18.49109	-17.07711	-14.60216
181.5213	-11.63027	6.294482	1.329452	-5.952988	-10.53585	-19.71974	-15.72443
181.8645	-9.369838	14.39221	4.799933	-8.137982	-3.07553	-17.04514	2.589874
182.2076	-19.08309	16.36807	0.8010952	-24.26783	1.962724	-27.14523	4.851031
182.5508	-0.6065516	11.55689	-1.828912	-16.64106	4.915912	-14.36163	1.547154
182.8939	-2.156841	2.4767	-26.37721	-16.32162	-0.01916421	-17.89282	0.06505119
183.2371	9.055174	-4.258173	-29.72626	-8.061479	-6.408547	-3.587597	10.34296
183.5802	-0.1337622	-10.37234	-24.09714	-18.04628	-13.05152	-13.07466	2.824375
183.9234	-22.59319	-10.91153	-22.26282	-37.45146	-23.29762	-32.57151	-23.43515
184.2665	95.75067	119.1361	101.2985	89.46137	96.07949	79.05695	101.0918
184.6096	136.7787	156.6943	142.9686	129.4068	135.1271	132.2225	141.2944
184.9527	96.21691	94.37572	88.69511	83.87626	86.4181	94.44675	92.65875
185.2958	-16.26692	-12.46555	-28.92164	-24.1272	-15.36212	-18.72698	-21.18503
185.6389	-1.388123	14.88779	-13.44411	-9.377823	4.076108	-5.663501	10.07032
185.982	-3.957916	7.439805	-0.111661	-1.810964	1.371217	-3.03366	5.015797
186.3251	-5.065604	-12.4998	2.157351	-5.49769	-0.6708716	-5.884562	-7.085346
186.6682	-1.253211	0.8667597	10.40317	0.9897259	4.700274	-4.964104	0.3695097
187.0112	-4.24526	15.26734	-1.706963	-20.56648	-5.813065	-7.916993	7.043006
187.3543	-5.766787	10.64343	-3.160212	-20.75956	-10.06257	-0.4996261	2.659524
187.6973	-0.786992	-6.241495	-7.537301	-25.93232	-3.895723	-3.843278	-3.98361
188.0404	-5.186566	-16.78954	-10.2097	-2.649032	0.4150559	-4.670882	-3.785544
188.3834	7.361997	-7.676878	-11.48971	6.78475	-13.64693	-18.37932	-0.5933844
188.7265	3.586026	3.599113	-4.06645	5.407615	-18.97679	-20.24218	5.515486
189.0695	5.689473	-0.3661006	9.192255	-18.26812	-11.62841	-20.6235	0.7543782
189.4125	-1.687665	-10.86445	14.34367	-18.17283	-0.5407794	-1.376016	-6.941357
189.7555	0.9230978	-1.078483	4.780395	-20.74531	10.43237	-13.42447	-8.24312
190.0985	-3.088782	6.973353	-0.9200468	-16.65788	8.617778	-12.74749	-4.465783
190.4415	-4.574995	1.96253	-9.969053	-34.91595	3.225331	-18.87154	-1.019252
190.7845	-1.764281	-4.745756	-10.09749	-23.21104	-0.8471848	-5.069934	4.083162
191.1275	-12.21343	7.41402	-14.47291	-36.35875	4.076974	-22.98152	-3.345229
191.4705	-8.32362	5.190183	2.41718	-24.89422	3.041665	-8.974024	-5.847456
191.8134	-12.81418	9.580274	-6.789476	-33.92266	4.336032	-21.7249	-5.624713
192.1564	-7.707412	7.190048	-10.67215	-22.33142	5.87083	-9.858361	0.8557181
192.4993	-16.34615	7.967986	-13.67713	-23.67085	7.750825	-19.13887	-10.22823
192.8423	-15.11564	0.8405682	2.08727	-15.16579	4.318653	2.638486	-10.94673
193.1852	-5.848187	-5.269358	-2.504197	-14.37946	-4.419503	-3.265576	-8.864465
193.5282	-0.01577578	10.71468	-11.05724	-12.70239	-5.644153	6.295826	0.9081126
193.8711	0.5425849	17.91121	-17.68933	-11.87533	-1.437936	-3.036283	2.3813
194.214	-7.624557	11.32486	-11.90876	-14.69383	5.211668	-9.691826	-0.8490111
194.5569	-11.14459	-11.49806	-0.2282562	-27.67571	-0.5953876	-19.52762	-7.557831
194.8998	-14.94841	-9.905632	12.33383	-23.24829	4.429586	-16.31103	-5.823606
195.2427	-11.89895	8.614132	1.648126	-36.57724	5.483606	-29.29676	-1.655402
195.5856	-0.6012214	11.83737	-4.88959	-20.29475	9.418484	-26.32819	-1.278954
195.9285	2.073357	1.94679	-2.902664	-17.19001	-2.780776	-10.27304	-4.816863
196.2713	-1.732308	-3.714097	6.428372	-4.363435	-0.8861982	-5.117261	-3.072036
196.6142	-8.305682	-2.202357	-9.140036	-11.74781	-3.825691	-18.97582	4.313377
196.9571	-6.347809	-0.3362048	-11.10341	-3.349469	2.5017	-20.75333	10.67572
197.2999	-9.849369	-5.203221	1.109118	-5.511557	2.453547	-0.9523557	11.51045
197.6428	-5.023356	7.264134	10.23622	-1.89877	11.21782	0.2658628	12.435
197.9856	2.117614	4.106704	-3.212969	8.954275	4.222897	-4.395441	5.897089
198.3284	7.165017	4.915684	-4.478066	5.779462	5.843794	-14.83909	-2.031838
198.6712	0.2176736	-6.897833	-6.350929	-3.537716	1.641275	-3.986719	-12.85058
199.0141	5.736346	-0.5759394	-2.045531	4.121418	3.68248	3.734788	-1.432588
199.3569	1.539771	4.970224	-15.43978	8.103433	-1.606271	3.686718	-2.282985
199.6997	-1.431716	15.10586	-3.719171	2.347016	-0.6341242	-0.2530709	-10.44976
200.0424	-14.56452	18.19304	-4.762559	-14.48501	-3.226832	-7.363143	-16.28925
200.3852	-9.573003	21.86387	5.218505	-15.19315	1.016921	-7.203415	-7.423053
200.728	-5.683306	7.353892	-10.11653	-10.34052	5.490571	-10.22022	-10.68514
201.0708	-1.946396	6.968761	-8.357381	-6.500425	6.841654	-12.29807	-3.374988
201.4135	-6.491371	0.3319129	-10.29147	-3.625036	5.48608	-7.053197	-4.488708
201.7563	-4.069113	-1.431403	-7.863742	-22.00166	3.8976	-7.94407	-9.224288
202.0991	-2.757513	-10.28554	-12.93859	-26.28164	-5.648428	-16.313	-24.73732
202.4418	1.768828	5.967937	-8.068361	-9.172283	-6.331955	-21.02266	-13.05277
202.7845	8.309612	1.107134	-4.684135	7.96563	-2.704124	-7.667584	-9.332562
203.1273	9.131387	-1.289065	-5.018839	-4.857646	3.248	-2.546337	5.815217
203.47	-0.6679687	-9.916039	-1.071091	-14.7938	-0.01210414	3.457569	-3.075559
