SPECTRUM DATA FILE
SpectrumCount:	14
PixelCount:	2500
UserName:	Atto
SampleName:	
LightSource:	
Comments:	
DeviceName:	Qmini
DeviceManufacturer:	RGB Photonics
DeviceSerialNo:	20020

Name:	press3_6	press3_4	press3_2	press3_0	press2_8	press2_6	press2_4	press2_2	press2_0	press1_8	press1_6	press1_4	press1_2	press1_0
Date:	2022-02-16T15:11:14.0717931+00:00	2022-02-16T15:13:49.2011784+00:00	2022-02-16T15:14:54.8032411+00:00	2022-02-16T15:21:09.9055605+00:00	2022-02-16T15:22:26.5157577+00:00	2022-02-16T15:25:43.0209588+00:00	2022-02-16T15:26:55.6227851+00:00	2022-02-16T15:29:50.0274938+00:00	2022-02-16T15:31:41.8305631+00:00	2022-02-16T15:38:08.8417276+00:00	2022-02-16T15:40:53.7448686+00:00	2022-02-16T15:44:13.4507766+00:00	2022-02-16T15:45:17.5529621+00:00	2022-02-16T15:46:57.4557017+00:00
ExposureTime:	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
TemporalAvg:	10	10	10	10	10	10	10	10	10	10	10	10	10	10
IntensityUnit:	ADCvalue	ADCvalue	ADCvalue	ADCvalue	ADCvalue	ADCvalue	ADCvalue	ADCvalue	ADCvalue	ADCvalue	ADCvalue	ADCvalue	ADCvalue	ADCvalue
CCDLoadLevel:	0.106568	0.1016259	0.09914114	0.08471838	0.1184631	0.1571141	0.1151832	0.1047027	0.1018753	0.1362512	0.1526467	0.1654062	0.1970257	0.3199612
Temperature:	24.23068	24.23068	24.33304	23.10883	23.00717	23.00717	22.90561	22.90561	23.00717	22.80408	22.80408	22.80408	23.00717	22.90561
DiagramColor:	200	16711680	49152	16711935	42495	12632064	3368611	53970	65280	255	12898745	9385102	16413159	7817798
ProcessingSteps:	783	783	783	783	783	783	783	783	783	783	783	783	783	783

Wavelength [nm]	Intensity1	Intensity2	Intensity3	Intensity4	Intensity5	Intensity6	Intensity7	Intensity8	Intensity9	Intensity10	Intensity11	Intensity12	Intensity13	Intensity14
181.1781	-6.539769	11.95338	-3.553839	11.35823	-8.587673	-5.994341	-11.32728	16.05973	-4.275179	-8.064154	2.57562	-9.548062	-0.05342359	13.46259
181.5213	-2.338145	4.170177	-10.96392	18.15538	-4.032097	-2.745209	-13.12114	11.46453	-7.50315	-11.8046	1.25292	-0.3495035	6.99873	9.149448
181.8645	-1.979018	-0.2348083	-9.0058	10.51945	7.552341	4.61784	-6.591316	-3.450997	-8.661954	-4.602898	-2.419291	0.6395224	13.96597	5.520371
182.2076	-6.548048	-4.082619	-8.845782	-2.059778	11.76802	9.261943	-1.672473	-3.152234	-1.310384	-5.984189	-12.07526	11.49157	22.71065	10.85011
182.5508	-9.314685	1.449034	-2.376135	4.214715	15.02024	13.70178	2.173495	5.431066	10.82137	-8.986749	-9.357551	-1.100913	5.329222	17.09169
182.8939	-2.506269	-1.593191	-9.021427	13.52501	4.312675	5.42459	-11.777	21.96024	10.98201	-19.51374	-9.215901	2.279383	-0.6208004	4.038577
183.2371	-0.2289809	5.642807	-7.700593	8.559994	8.50031	-1.510347	-11.8204	13.58604	14.18082	-8.770014	-6.605809	-1.678755	-4.5417	-1.48896
183.5802	-1.620047	1.952927	-11.61766	3.02588	4.568697	-10.71308	-12.92862	8.591331	11.07952	0.9706104	-9.532823	6.938012	0.1590541	3.88367
183.9234	-18.83857	-15.14728	-21.29762	-15.45764	-6.357315	-15.64989	-26.93797	-18.00682	-13.22274	-9.398486	-24.80774	-15.54953	-8.481144	-2.923958
184.2665	94.74036	107.9291	91.10942	100.3756	98.86307	85.93399	79.98191	90.72755	77.96167	86.88132	76.61531	84.93356	103.539	92.16234
184.6096	133.1297	149.6902	126.6285	131.3678	132.1811	117.3368	124.3151	123.5839	115.523	125.6014	116.9257	113.5705	130.3013	108.5411
184.9527	79.22152	93.96008	86.14101	86.32993	87.66801	70.30871	81.87067	80.25121	87.64745	93.40695	84.4109	76.34605	79.32243	66.97855
185.2958	-26.04042	-26.24997	-25.18315	-17.91366	-18.4376	-15.70174	-23.14426	-24.39715	-10.30626	-10.18731	-20.7338	-19.62427	-26.64232	-22.6428
185.6389	-8.16658	-1.51676	-2.5172	3.033181	5.020809	13.27474	-0.2757858	5.391634	15.54551	-7.078103	-5.834648	8.50331	3.254058	11.10811
185.982	0.8157395	2.582767	0.7370732	-1.035055	8.590985	18.87594	1.928303	10.41546	8.886456	-4.045795	2.129755	7.854472	8.180939	8.544753
186.3251	-8.1928	2.268037	2.573058	-7.731727	9.338579	13.75495	-3.884825	4.472185	-2.369457	10.37509	6.717199	5.409833	6.914385	8.913444
186.6682	5.595402	9.787248	0.1061338	5.700463	4.693579	14.17287	4.904616	5.738645	-8.043225	13.25052	6.19846	-5.834462	1.659474	-1.137648
187.0112	4.415869	3.189154	-4.494335	12.07928	0.5594507	7.165844	6.42241	8.517991	-11.0684	1.267977	-3.015989	-5.033007	-4.315908	-2.865651
187.3543	12.23651	0.8934495	-2.578872	7.029163	9.694122	8.07389	0.590784	6.500455	-5.844661	-1.100709	1.316991	9.72998	8.322141	1.627683
187.6973	3.542318	-4.066574	-2.362726	-7.408794	4.876711	12.36787	-2.802195	1.924586	-11.07517	-5.06746	2.681186	24.77988	13.25768	0.5536922
188.0404	4.381093	-5.318705	-1.850489	-11.72453	-3.033122	11.62553	1.893952	9.002156	-3.907497	-10.7537	4.627236	18.50485	21.82966	-1.321519
188.3834	1.243443	-8.291953	-9.609336	-19.15775	0.8348661	5.486218	-5.561447	12.71152	-11.10791	-23.08331	2.829957	5.030184	1.669489	-5.470739
188.7265	6.835088	2.367432	-12.44127	-13.63701	6.302058	8.748226	-7.636507	8.999775	-3.669611	-9.929151	-6.179734	2.053406	5.434049	0.4997432
189.0695	1.651133	8.178117	-6.828377	-1.151793	3.361429	9.155978	-9.721014	-7.284608	-9.322239	-0.6132781	-13.21964	-5.299933	7.90068	-5.84166
189.4125	-4.032547	6.556183	-11.83377	16.18579	4.250683	8.654313	-8.684625	-9.723285	6.636872	11.13856	-12.00259	-5.113122	32.62033	-1.010094
