SPECTRUM DATA FILE
SpectrumCount:	15
PixelCount:	2500
UserName:	Atto
SampleName:	
LightSource:	
Comments:	
DeviceName:	Qmini
DeviceManufacturer:	RGB Photonics
DeviceSerialNo:	20020

Name:	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
Date:	2022-02-23T14:17:23.4615145+00:00	2022-02-23T14:17:34.4625558+00:00	2022-02-23T14:17:43.2625558+00:00	2022-02-23T14:18:10.7623244+00:00	2022-02-23T14:18:25.4638400+00:00	2022-02-23T14:18:36.4636716+00:00	2022-02-23T14:18:46.1635643+00:00	2022-02-23T14:18:53.8635643+00:00	2022-02-23T14:19:05.9643287+00:00	2022-02-23T14:19:14.9643287+00:00	2022-02-23T14:19:31.8653351+00:00	2022-02-23T14:19:40.2653351+00:00	2022-02-23T14:19:48.8653351+00:00	2022-02-23T14:19:56.6653351+00:00	2022-02-23T14:20:09.6663100+00:00
ExposureTime:	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
TemporalAvg:	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
IntensityUnit:	ADCvalue	ADCvalue	ADCvalue	ADCvalue	ADCvalue	ADCvalue	ADCvalue	ADCvalue	ADCvalue	ADCvalue	ADCvalue	ADCvalue	ADCvalue	ADCvalue	ADCvalue
CCDLoadLevel:	0.1099118	0.1297766	0.1352656	0.1589784	0.1432507	0.09118539	0.06432816	0.05399481	0.03672917	0.04834911	0.08501478	0.09960528	0.105432	0.1180898	0.1217522
Temperature:	23.10883	23.10883	23.10883	23.10883	23.00717	23.10883	23.10883	23.00717	23.10883	23.00717	23.00717	23.10883	23.10883	23.21051	23.00717
DiagramColor:	200	16711680	49152	16711935	42495	12632064	3368611	53970	65280	255	12898745	9385102	16413159	7817798	16480417
ProcessingSteps:	783	783	783	783	783	783	783	783	783	783	783	783	783	783	783

Wavelength [nm]	Intensity1	Intensity2	Intensity3	Intensity4	Intensity5	Intensity6	Intensity7	Intensity8	Intensity9	Intensity10	Intensity11	Intensity12	Intensity13	Intensity14	Intensity15
181.1781	2.584528	5.83938	-12.64198	-4.605805	-11.54384	1.589333	-3.655366	-2.072756	-9.438331	-4.164872	0.8463873	-9.043636	-27.48911	-19.56678	8.257782
181.5213	-2.52127	8.617112	-10.45357	4.135839	-4.686446	-5.993224	3.967181	8.227567	6.449389	-13.93313	10.63988	11.23562	-4.328367	-5.812574	1.736775
181.8645	1.185946	4.351839	-14.12089	-2.602524	2.544104	-9.490408	10.43225	12.26833	15.49655	-8.442058	7.323982	13.80896	13.29836	8.555668	1.024144
182.2076	-3.667276	-2.545982	-8.240814	-9.55272	1.080041	-6.173499	15.12704	15.58616	7.325645	-11.9978	5.430722	8.928669	9.388867	19.65081	-3.241765
182.5508	-7.348302	-4.76824	8.13229	-16.12765	-5.335259	-0.2875253	1.098846	8.716898	0.6781461	-13.41676	-2.769487	-3.711759	-0.7938045	8.232516	6.862251
182.8939	-19.20214	-9.070782	1.848471	-3.854479	-3.026005	8.20028	-2.549246	11.66926	-6.228014	-16.66421	-8.103265	3.423038	-0.2948924	-1.930186	-4.16171
183.2371	-3.957131	-10.1624	-3.138376	-6.639893	5.002343	9.932707	7.444144	3.128438	-8.340544	-2.48741	-7.302377	0.7875631	5.158742	-4.153925	-6.43948
183.5802	-1.825561	-7.730068	-8.429567	-0.2203227	4.434096	4.69997	13.84534	-0.008337467	-13.79484	-11.03017	4.319408	7.998981	-4.039373	7.584686	-12.19518
183.9234	-12.39216	-6.540252	-16.39022	-7.792287	-11.74016	-13.2165	-10.11618	-21.00405	-24.29726	-25.77128	9.876911	-7.720351	-20.5475	-6.513721	-27.65763
184.2665	98.92318	104.3935	91.10904	107.7352	85.76712	89.23135	77.4071	93.72785	96.45701	76.23057	112.078	98.60554	96.50201	97.90104	74.00528
184.6096	141.6653	136.8165	135.3197	128.298	111.6749	118.6344	111.0413	127.1217	134.3446	124.1179	138.2181	126.6384	136.0455	133.365	110.3202
184.9527	79.59057	79.77903	86.22558	78.68404	73.90519	74.88235	68.51302	80.22912	88.90391	90.39032	79.54767	83.67522	89.43857	87.9966	79.5943
185.2958	-38.1708	-17.9789	-28.08702	-22.87665	-22.82047	-30.72029	-20.26955	-20.63161	-21.05705	-4.400741	-17.86439	-11.9802	-21.19306	-18.64388	-22.75047
185.6389	-15.49301	10.88282	-8.765724	8.791641	10.57097	-17.15851	10.98882	0.1212298	-3.03144	7.0177	9.216314	19.36317	-6.681771	1.361181	-11.3688
185.982	0.8103088	18.92605	-0.4541061	8.043546	6.551698	-16.62016	16.36167	4.017895	-7.62062	2.749281	6.667093	27.02253	-15.15216	6.243078	-12.48046
186.3251	-4.237391	4.135038	1.243202	-0.400957	1.120259	-11.50723	-3.667685	0.144577	-7.238317	0.2425233	-12.15139	13.90217	-8.801558	3.443831	-10.79507
186.6682	-7.719192	-0.4715662	-1.998518	6.073081	-6.85516	-4.583067	-16.47366	9.97574	0.8970627	6.358695	-10.86209	2.77563	-2.281108	6.910765	4.030316
187.0112	-9.130199	-6.88693	-7.265349	12.31427	-5.128952	-4.438242	-4.895877	2.174943	2.070954	11.5465	0.1376178	-5.940004	2.290514	10.03536	7.919726
187.3543	-5.941988	2.594982	-4.840558	2.708589	-1.161802	-5.143437	-0.02602272	-0.5138931	7.346836	4.739691	5.357276	5.66431	0.7840285	4.907169	14.50051
187.6973	-3.936887	2.184386	-1.748425	-12.86366	2.998809	-11.67951	2.51457	1.133327	5.914752	-10.06282	-4.943373	8.497519	-5.688235	3.081494	1.19545
188.0404	-9.718048	2.483552	-0.4786884	-11.7992	4.564707	-5.720925	7.568749	16.15832	-4.120526	-6.935762	-1.954971	14.1123	-6.121955	7.799739	0.5300394
188.3834	-10.86741	-7.053324	3.121395	-7.280898	-13.5792	-3.903741	12.47275	15.36959	-7.230049	-12.09832	11.13788	11.11274	-3.330068	25.84334	-3.722597
188.7265	-8.089049	3.835392	13.70878	-0.4717623	-15.95195	0.05545545	8.97741	7.44788	-3.335321	1.085279	13.97404	9.752829	9.876846	28.64284	1.794541
189.0695	-2.76174	7.645619	16.62179	4.522542	-13.68182	-2.432259	4.463678	-2.262926	-0.1588863	7.797765	-2.855461	-2.065405	-6.30568	9.361753	-0.3817973
189.4125	-3.007958	2.048178	0.3373713	2.174952	3.206259	4.633854	-0.2810615	2.488849	-4.54994	13.7612	-7.765195	-3.520764	-9.517818	0.1076495	2.602039
189.7555	-2.607575	2.222409	-9.043205	-2.239507	7.104986	-7.944326	-5.797578	12.01793	-7.228619	-2.700083	4.322698	8.046301	-14.93223	6.973012	3.594101
190.0985	0.1525193	8.1557	-9.415201	-0.4481618	11.27663	-15.18116	-1.468989	7.071174	-1.440344	-4.332006	15.81785	11.2531	-6.686528	15.06305	8.990304
190.4415	1.074881	8.640495	-0.7498672	4.622922	7.515756	-12.9198	-2.136501	8.475075	1.673251	-8.795468	15.87605	10.56186	-9.395106	10.61548	3.930591
190.7845	0.02274384	3.795309	1.215814	9.056865	7.777884	-1.898961	-11.57603	6.402663	6.387097	-13.73674	18.02673	8.561506	0.01801893	8.067841	2.413393
191.1275	-14.10857	21.21775	-3.704736	11.12086	10.18487	-5.416317	0.3274494	19.37469	3.194809	-12.95342	13.04052	19.18408	9.045232	9.691738	2.223324
191.4705	-14.87289	17.14856	0.7320197	2.94384	2.538283	-5.591019	6.114109	-2.524413	-0.8279513	-3.257334	4.634098	11.16391	7.194715	4.176194	12.9888
