SPECTRUM DATA FILE
SpectrumCount:	11
PixelCount:	2500
UserName:	Atto
SampleName:	
LightSource:	
Comments:	
DeviceName:	Qmini
DeviceManufacturer:	RGB Photonics
DeviceSerialNo:	20020

Name:	pow1_24	pow1_1	pow1_0	pow0_9	pow0_8	pow0_7	pow0_6	pow0_5	pow0_4	pow0_3	pow1_2
Date:	2022-02-16T15:59:59.9267058+00:00	2022-02-16T16:02:25.4351774+00:00	2022-02-16T16:03:57.0377985+00:00	2022-02-16T16:06:19.8417797+00:00	2022-02-16T16:08:22.2451256+00:00	2022-02-16T16:10:29.3486375+00:00	2022-02-16T16:12:12.4520741+00:00	2022-02-16T16:14:06.5548465+00:00	2022-02-16T16:16:13.2576706+00:00	2022-02-16T16:17:47.4606495+00:00	2022-02-16T16:19:54.1635794+00:00
ExposureTime:	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
TemporalAvg:	10	10	10	10	10	10	10	10	10	10	10
IntensityUnit:	ADCvalue	ADCvalue	ADCvalue	ADCvalue	ADCvalue	ADCvalue	ADCvalue	ADCvalue	ADCvalue	ADCvalue	ADCvalue
CCDLoadLevel:	0.0872149	0.1110666	0.1229433	0.09682628	0.06592862	0.07021003	0.07415643	0.06700621	0.08959481	0.09693237	0.08867021
Temperature:	23.82187	24.12839	24.23068	24.43546	24.43546	24.6405	24.53796	24.53796	24.53796	24.6405	24.6405
DiagramColor:	200	16711680	49152	16711935	42495	12632064	3368611	53970	65280	255	12898745
ProcessingSteps:	783	783	783	783	783	783	783	783	783	783	783

Wavelength [nm]	Intensity1	Intensity2	Intensity3	Intensity4	Intensity5	Intensity6	Intensity7	Intensity8	Intensity9	Intensity10	Intensity11
181.1781	-9.618382	-13.80007	12.14942	4.385936	-5.665029	-10.90698	-23.95931	14.11677	-5.497153	9.36451	5.387694
181.5213	-6.95199	-15.86883	9.704787	-4.349073	0.4943149	2.117079	-8.841917	12.27902	-0.3588898	9.654546	14.00849
181.8645	9.767318	-9.952088	6.497447	-6.05108	2.754439	5.519373	5.336854	3.28755	-3.314639	-4.8704	12.22826
182.2076	20.69099	-8.441041	10.47846	-5.880972	2.971912	1.659931	22.14152	-1.491036	-16.31887	-11.26526	-4.212559
182.5508	12.15227	1.89315	16.10849	-3.519693	9.755739	5.336551	13.42944	-3.762187	-11.62191	2.777252	1.296072
182.8939	-6.721704	-10.23979	22.06749	-0.2070945	4.557088	5.667011	14.73816	-7.111225	-10.85644	13.33217	0.2458401
183.2371	-12.6997	-4.936404	9.864101	0.07751693	-4.825702	5.267249	8.479281	-6.564017	-4.504013	6.328635	-1.666687
183.5802	-6.844194	-5.990807	4.530828	-5.930992	-4.842904	10.33022	11.77619	-1.251038	-11.2145	-3.312273	-6.52583
