"Grating Position, mm","GDD, fs^2","TOD, fs^3","Simulated RMS Width, nm"
-0.4,1870,0,3154.774423185506
-0.35,1640,0,4437.868375428528
-0.3,1410,0,4663.208090222985
-0.25,1170,0,3047.951193286764
-0.2,937,0,3558.0177074404382
-0.15,703,0,4705.292068043215
-0.1,469,0,3496.00190018993
-0.05,234,0,3018.8916867748467
0,0,0,6306.129515311929
0.05,-234,0,4209.759842070311
0.1,-469,0,3095.667746684433
0.15,-703,0,4713.697489186089
0.2,-937,0,4668.385100558902
0.25,-1170,0,2960.426800380941
0.3,-1410,0,3759.224026614231
