"Omega, /s",Intensity
239135452881006.75,5.723768866227023e-41
248332970299507.0,1.6880723387171238e-41
257530487718007.28,8.917573399323072e-41
266728005136507.53,8.144556982140295e-41
275925522555007.78,9.970078911320464e-41
285123039973508.06,2.5237933644314124e-40
294320557392008.3,3.889486600743369e-40
303518074810508.56,6.601701563188872e-40
312715592229008.8,7.534102948984437e-40
321913109647509.06,1.767530900454705e-39
331110627066009.4,5.7607492615291836e-39
340308144484509.6,4.865423011039188e-39
349505661903009.9,3.5137057245283153e-38
358703179321510.1,3.014828271295724e-38
367900696740010.4,3.981254502570151e-38
377098214158510.6,9.490403431336828e-38
386295731577010.94,4.818512815950244e-37
395493248995511.2,8.295928030498978e-37
404690766414011.44,4.234228076745436e-37
413888283832511.7,3.016631241204453e-36
423085801251011.94,5.0989064832580384e-37
432283318669512.2,2.4695296992100464e-35
441480836088012.5,4.078856173542486e-34
450678353506512.75,7.196247503242304e-34
459875870925013.0,8.340809739722436e-34
469073388343513.25,1.736634080783055e-33
478270905762013.5,1.1640756710614685e-33
487468423180513.75,1.9096232553742367e-34
496665940599014.0,3.52475078474594e-34
505863458017514.3,2.2955832330924795e-33
515060975436014.56,1.7123000102192557e-33
524258492854514.8,1.4377166675136246e-33
533456010273015.06,9.682241400792901e-34
542653527691515.3,1.3887978193322107e-33
551851045110015.56,7.232352405681363e-36
561048562528515.9,1.0161259448713008e-34
570246079947016.1,3.085200639105378e-33
579443597365516.4,1.1235916873494159e-33
588641114784016.6,2.5199285552653047e-33
597838632202516.9,8.942294724680793e-34
607036149621017.1,1.1033788222949241e-32
616233667039517.4,2.169930458602315e-34
625431184458017.6,4.485603844303328e-33
634628701876517.9,7.919892059694684e-33
643826219295018.1,2.491096705427075e-33
653023736713518.5,8.250640405004066e-33
662221254132018.8,6.655980198469507e-33
671418771550519.0,1.5114367108896166e-32
680616288969019.2,3.4715617688437436e-32
689813806387519.5,1.3610551819897308e-32
699011323806019.8,1.978889786709285e-32
708208841224520.0,3.0557173724512686e-32
717406358643020.2,1.6593097977860725e-32
726603876061520.5,6.352025022786806e-32
735801393480020.8,8.223478217726623e-32
744998910898521.0,9.098559182164578e-32
754196428317021.2,1.34887167782641e-31
763393945735521.5,9.806794086261392e-32
772591463154021.9,1.2086842869639266e-31
781788980572522.1,3.001579946875749e-31
790986497991022.4,2.531275388163037e-31
800184015409522.6,3.4325767817493962e-31
809381532828022.9,3.695801775518069e-31
818579050246523.1,3.7184496584074166e-31
827776567665023.4,6.68242837757112e-31
836974085083523.6,8.32121938262362e-31
846171602502023.9,8.341255143762379e-31
855369119920524.1,1.3974095150327081e-30
864566637339024.4,1.3420159509981955e-30
873764154757524.6,1.2784835997144134e-30
882961672176025.0,2.5439553743360186e-30
892159189594525.2,2.3944053502768428e-30
901356707013025.5,2.311635148865562e-30
910554224431525.8,4.580323154052994e-30
919751741850026.0,3.547935311287084e-30
928949259268526.2,4.729048158410706e-30
938146776687026.5,8.088105233408045e-30
947344294105526.8,5.872894158578945e-30
956541811524027.0,9.364973508447119e-30
965739328942527.2,1.3253421336434332e-29
974936846361027.5,9.72046612148419e-30
984134363779527.8,1.753097747823933e-29
993331881198028.0,2.1512458529203027e-29
1002529398616528.4,1.56209825936718e-29
1011726916035028.6,3.3783513204683686e-29
1020924433453528.9,3.353725685299488e-29
1030121950872029.1,2.997654115567587e-29
1039319468290529.4,6.154984565399323e-29
