"Omega, /s",Intensity
239135452881006.75,1.1176416082225335e-41
248332970299507.0,6.00229961609998e-42
257530487718007.28,4.028061294974691e-42
266728005136507.53,1.9494176669672319e-41
275925522555007.78,6.541561119327635e-42
285123039973508.06,8.368996630104118e-42
294320557392008.3,1.1076007942288662e-40
303518074810508.56,1.1568662379850848e-41
312715592229008.8,5.571854374677861e-40
321913109647509.06,1.5114180766721418e-41
331110627066009.4,1.8247342967046983e-39
340308144484509.6,2.1366110339234322e-40
349505661903009.9,8.947637840432624e-39
358703179321510.1,1.142627974067258e-39
367900696740010.4,1.6101803501107197e-38
377098214158510.6,5.56307292496179e-38
386295731577010.94,9.177266043496528e-38
395493248995511.2,5.4650010900296255e-37
404690766414011.44,2.448069413019363e-37
413888283832511.7,3.9540262605969345e-38
423085801251011.94,3.3355093983659375e-36
432283318669512.2,1.6956445713185242e-35
441480836088012.5,3.0137762567540286e-34
450678353506512.75,4.165736351293773e-34
459875870925013.0,1.0462427827036512e-34
469073388343513.25,9.4073954811612e-34
478270905762013.5,1.1769381872269837e-33
487468423180513.75,2.259800390305216e-34
496665940599014.0,2.696871199788731e-34
505863458017514.3,1.270582000451816e-33
515060975436014.56,2.2432623002631666e-33
524258492854514.8,1.2603949359456456e-33
533456010273015.06,3.929078329948847e-34
542653527691515.3,1.325437586261311e-33
551851045110015.56,3.564624400634727e-33
561048562528515.9,2.393925211166403e-33
570246079947016.1,2.9196245676492052e-33
579443597365516.4,2.3079929644247004e-33
588641114784016.6,2.3955073654956376e-33
597838632202516.9,9.299703972042308e-34
607036149621017.1,8.70838623513923e-34
616233667039517.4,8.449450586245934e-34
625431184458017.6,5.179724868549824e-33
634628701876517.9,2.9747144916689196e-33
643826219295018.1,7.340763176521755e-34
653023736713518.5,2.6836023124762457e-33
662221254132018.8,7.836844481980048e-34
671418771550519.0,1.1581090470450774e-33
680616288969019.2,1.2925745479244356e-33
689813806387519.5,1.3389349647158632e-33
699011323806019.8,9.073595598484262e-34
708208841224520.0,1.5081108025235912e-33
717406358643020.2,4.044362367613731e-33
726603876061520.5,4.376686566388599e-33
735801393480020.8,9.3846825916892e-33
744998910898521.0,1.2060836897333403e-33
754196428317021.2,5.2937332890437325e-33
763393945735521.5,2.6150798285078154e-33
772591463154021.9,2.7383697105502414e-33
781788980572522.1,1.4880391274342955e-33
790986497991022.4,5.547770507824707e-35
800184015409522.6,4.0453913803950226e-33
809381532828022.9,9.990347304579474e-33
818579050246523.1,1.940424607868152e-34
827776567665023.4,5.25084109108913e-33
836974085083523.6,2.0770155168690824e-32
846171602502023.9,2.205273499349591e-33
855369119920524.1,2.3037123803784736e-33
864566637339024.4,9.240124984084485e-33
873764154757524.6,4.556539209916191e-34
882961672176025.0,9.415754114127764e-33
892159189594525.2,1.6874998287960009e-32
