"Grating Position, mm","GDD, fs^2","TOD, fs^3","Simulated RMS Width, nm"
-0.4,1870,-4090.0,220.01151969507848
-0.35,1640,-3580.0,242.62125330554187
-0.3,1410,-3060.0,281.7378695549655
-0.25,1170,-2550.0,411.6234237911662
-0.2,937,-2040.0,512.9170478625318
-0.15,703,-1530.0,612.9998730824109
-0.1,469,-1020.0,734.4446626992923
-0.05,234,-511,796.6130233665283
0,0,0,821.7731880030245
0.05,-234,511,811.9506061577556
0.1,-469,1020.0,765.841606734997
0.15,-703,1530.0,681.8116500191478
0.2,-937,2040.0,555.4880741139337
0.25,-1170,2550.0,473.49967058958447
0.3,-1410,3060.0,380.3102174137521
