"Grating Position, mm","GDD, fs^2","TOD, fs^3","Simulated RMS Width, nm"
-0.4,1870,-4090.0,4043.4426888325243
-0.35,1640,-3580.0,4107.282899596757
-0.3,1410,-3060.0,3659.6968551949367
-0.25,1170,-2550.0,4056.610829665028
-0.2,937,-2040.0,3904.940213431051
-0.15,703,-1530.0,4262.457958471782
-0.1,469,-1020.0,4047.5249772769466
-0.05,234,-511,3203.4577979013693
0,0,0,6306.128380493863
0.05,-234,511,3718.581402377081
0.1,-469,1020.0,3616.6075628217227
0.15,-703,1530.0,4171.907434648318
0.2,-937,2040.0,3859.869466911826
0.25,-1170,2550.0,4066.7113062156973
0.3,-1410,3060.0,3989.463803011688
