"Grating Position, mm","GDD, fs^2","TOD, fs^3","Simulated RMS Width, nm"
-0.4,1870,-4090.0,285.3424789716086
-0.35,1640,-3580.0,286.2643036526527
-0.3,1410,-3060.0,286.60155923639917
-0.25,1170,-2550.0,286.87102903652277
-0.2,937,-2040.0,286.6711416982117
-0.15,703,-1530.0,285.69325972923787
-0.1,469,-1020.0,286.5371379228681
-0.05,234,-511,286.0058199067166
0,0,0,288.24785124001414
0.05,-234,511,285.2882611661942
0.1,-469,1020.0,285.1691124399509
0.15,-703,1530.0,283.4206373254967
0.2,-937,2040.0,284.0989337349935
0.25,-1170,2550.0,283.43576780887145
0.3,-1410,3060.0,282.59782240066477
