"Grating Position, mm","GDD, ps^2","TOD, fs^3","Simulated RMS Width, nm"
-0.4,-0.0984,215000.0,269.73063481703576
-0.35,-0.101,220000.0,201.49142605803243
-0.3,-0.103,225000.0,240.50917867993374
-0.25,-0.105,230000.0,243.17739868241202
-0.2,-0.108,235000.0,169.12731395845358
-0.15,-0.11,240000.0,152.31634384779053
-0.1,-0.112,245000.0,163.73232535294994
-0.05,-0.115,250000.0,214.15585734406295
0,-0.117,255000.0,821.7734865117361
0.05,-0.12,260000.0,205.047415811669
0.1,-0.122,266000.0,166.2323185267543
0.15,-0.124,271000.0,151.21730712975673
0.2,-0.127,276000.0,187.6374045192111
0.25,-0.129,281000.0,221.06059974981235
0.3,-0.131,286000.0,212.8622103815704
